Top boundary,Bottom boundary,Time
2590.38,1596.21,0.0
2535.88,1677.78,7.68
2565.12,1720.76,15.36
2556.6,1735.6,23.04
2538.48,1711.91,30.72
2549.49,1833.33,38.4
2502.71,1760.07,46.08
2544.54,1709.42,53.76
2485.28,1607.6,61.44
2562.17,1547.44,69.12
2520.41,1500.76,76.8
2553.88,1583.33,84.47999999999999
2624.81,1663.38,92.16
2668.76,1733.36,99.84
2625.38,1782.7,107.52
2647.42,1831.35,115.19999999999999
2611.45,1803.66,122.88
2576.65,1778.72,130.56
2543.11,1744.58,138.24
2479.45,1791.29,145.92
2497.73,1832.03,153.6
2452.89,1761.92,161.28
2462.76,1718.51,168.95999999999998
2449.08,1633.24,176.64
2598.72,1077.51,184.32
2492.59,1752.41,192.0
2490.33,1797.08,199.68
2545.06,1835.8,207.35999999999999
2536.33,1784.15,215.04
2643.66,1633.95,222.72
2768.43,1491.25,230.39999999999998
2886.07,1290.34,238.07999999999998
2784.76,1291.99,245.76
2807.08,1271.34,253.44
2828.25,1419.28,261.12
2774.84,1821.48,268.8
2639.14,2035.31,276.48
2642.73,2125.91,284.15999999999997
2671.07,2139.31,291.84
2681.21,2141.04,299.52
2642.35,2064.22,307.2
2643.94,2141.47,314.88
2679.05,2169.92,322.56
2709.58,2209.96,330.24
2696.67,2201.99,337.91999999999996
2735.81,2243.69,345.59999999999997
2789.35,2261.01,353.28
2789.0,2141.33,360.96
2815.76,2094.21,368.64
2924.05,2122.31,376.32
3067.46,1754.09,384.0
3116.07,1732.28,391.68
3141.33,1598.71,399.36
3193.94,1513.14,407.03999999999996
3322.95,1180.91,414.71999999999997
3260.39,1209.07,422.4
3217.48,1152.57,430.08
3021.05,1185.48,437.76
2956.93,1255.85,445.44
3004.18,1312.22,453.12
3098.51,1381.35,460.79999999999995
3067.17,1451.75,468.47999999999996
3029.21,1547.07,476.15999999999997
3023.41,1580.43,483.84
3033.25,1725.76,491.52
2959.76,1742.26,499.2
2979.05,1883.64,506.88
2914.36,2036.72,514.56
2973.7,2196.54,522.24
2997.88,2445.13,529.92
3026.99,2450.14,537.6
3035.56,2310.55,545.28
