Top boundary,Bottom boundary,Time
1932.8,1055.78,122.88
1870.64,955.45,130.56
1666.98,819.11,138.24
1567.31,613.37,145.92
1537.43,471.81,153.6
1270.75,555.76,161.28
1004.07,639.71,168.95999999999998
1022.56,673.17,176.64
1160.34,838.64,184.32
1292.66,885.09,192.0
1634.37,884.0,199.68
1681.83,966.89,207.35999999999999
1661.4,985.13,215.04
1705.07,997.99,222.72
1712.73,943.0,230.39999999999998
1623.32,862.29,238.07999999999998
1524.02,820.26,245.76
1506.9,708.28,253.44
1164.88,614.02,261.12
1088.21,633.3,268.8
879.57,537.8,276.48
855.81,552.21,284.15999999999997
872.88,580.35,291.84
971.47,659.84,299.52
1049.81,685.37,307.2
1088.77,705.49,314.88
1164.48,765.79,322.56
1314.27,772.74,330.24
1392.16,746.94,337.91999999999996
1533.55,786.63,345.59999999999997
1552.86,847.27,353.28
1438.84,851.48,360.96
1271.7,814.42,368.64
1202.52,811.44,376.32
1028.87,712.86,384.0
1017.65,737.38,391.68
945.94,690.77,399.36
991.85,763.6,407.03999999999996
1019.95,792.28,414.71999999999997
