Top boundary,Bottom boundary,Time
1390.28,784.79,1159.68
1356.45,830.55,1167.36
1345.37,853.74,1175.04
1310.6,795.87,1182.72
1343.18,845.43,1190.3999999999999
1262.85,784.52,1198.08
1272.93,796.72,1205.76
1273.33,791.05,1213.44
1276.12,716.27,1221.12
1351.58,780.16,1228.8
1271.22,875.19,1236.48
1282.37,877.72,1244.1599999999999
1304.47,931.49,1251.84
1341.31,975.77,1259.52
1430.31,1022.08,1267.2
1571.92,976.21,1274.8799999999999
1550.21,1037.99,1282.56
1554.7,1000.2,1290.24
1599.8,1088.72,1297.9199999999998
1649.81,1091.4,1305.6
1709.53,1101.56,1313.28
1769.45,1107.17,1320.96
1782.84,1099.21,1328.6399999999999
1814.06,1171.11,1336.32
1804.44,1088.54,1344.0
1857.41,1154.24,1351.6799999999998
1833.61,1120.67,1359.36
1846.15,1145.49,1367.04
1832.61,1186.01,1374.72
1725.46,1142.45,1382.3999999999999
1704.0,1184.44,1390.08
1662.28,1164.5,1397.76
1662.28,1185.86,1405.44
1631.01,1173.53,1413.12
1623.98,1193.77,1420.8
1594.34,1212.2,1428.48
1568.77,1203.67,1436.1599999999999
1609.31,1266.83,1443.84
1614.71,1283.62,1451.52
1614.75,1287.15,1459.2
1654.41,1378.15,1466.8799999999999
1652.78,1379.94,1474.56
1678.21,1419.29,1482.24
1727.36,1468.9,1489.9199999999998
1781.2,1502.97,1497.6
1811.08,1522.88,1505.28
1848.47,1548.1,1512.96
1922.35,1620.45,1520.6399999999999
1914.51,1600.25,1528.32
1942.05,1616.06,1536.0
1962.49,1615.1,1543.6799999999998
1959.92,1615.85,1551.36
1947.8,1595.3,1559.04
1988.9,1604.67,1566.72
2009.56,1569.53,1574.3999999999999
2017.7,1490.01,1582.08
2004.66,1340.11,1589.76
1978.86,1290.93,1597.44
1974.58,1254.92,1605.12
1903.5,1245.52,1612.8
1853.36,1225.76,1620.48
1820.59,1176.57,1628.1599999999999
1774.72,1146.19,1635.84
1767.32,1153.53,1643.52
1675.8,1134.8,1651.2
1563.81,1144.61,1658.8799999999999
1504.6,1154.75,1666.56
1456.93,1154.23,1674.24
1449.98,1142.57,1681.9199999999998
1474.27,1197.56,1689.6
1489.94,1190.78,1697.28
1476.54,1227.71,1704.96
1440.97,1217.05,1712.6399999999999
1263.21,1145.39,1720.32
