Top boundary,Bottom boundary,Time
2837.13,743.22,1013.76
2775.56,991.86,1021.4399999999999
2758.01,881.81,1029.12
2737.79,1056.9,1036.8
2789.48,1134.73,1044.48
2596.61,987.75,1052.1599999999999
2336.54,1151.52,1059.84
2337.43,1189.84,1067.52
2162.5,1045.11,1075.2
2324.16,1147.71,1082.8799999999999
2578.54,1377.55,1090.56
2690.99,1440.47,1098.24
2712.55,1418.59,1105.92
2707.19,1253.11,1113.6
2627.64,1235.37,1121.28
2687.55,1157.79,1128.96
2448.04,1094.87,1136.6399999999999
2277.12,1084.95,1144.32
2121.61,1109.55,1152.0
2145.41,1073.86,1159.68
1957.32,1055.09,1167.36
1963.69,1039.2,1175.04
1750.64,1071.48,1182.72
1815.36,981.91,1190.3999999999999
1664.68,829.37,1198.08
1833.85,790.1,1205.76
1869.17,871.38,1213.44
1835.56,822.4,1221.12
1921.93,815.72,1228.8
1720.67,816.93,1236.48
1546.81,769.72,1244.1599999999999
1450.47,820.03,1251.84
1500.79,843.81,1259.52
1526.64,835.09,1267.2
1616.38,830.33,1274.8799999999999
1872.41,784.59,1282.56
1860.54,822.24,1290.24
1776.6,828.9,1297.9199999999998
1775.12,843.55,1305.6
1699.61,804.75,1313.28
1700.08,734.08,1320.96
1594.35,887.06,1328.6399999999999
1617.7,883.49,1336.32
